Iteracao Numerador Denominador Erro
1 7 2 0.3584073464102069
2 7 3 0.8082593202564596
3 8 3 0.4749259869231266
4 9 3 0.14159265358979312
5 10 3 0.19174067974354037
6 10 4 0.6415926535897931
7 11 4 0.3915926535897931
8 12 4 0.14159265358979312
9 13 4 0.10840734641020688
10 13 5 0.541592653589793
11 14 5 0.3415926535897933
12 15 5 0.14159265358979312
13 16 5 0.05840734641020706
14 16 6 0.4749259869231266
15 17 6 0.30825932025645963
16 18 6 0.14159265358979312
17 19 6 0.025074013076873403
18 19 7 0.4273069393040787
19 20 7 0.2844497964469359
20 21 7 0.14159265358979312
21 22 7 0.0012644892673496777
22 22 8 0.3915926535897931
23 23 8 0.2665926535897931
24 24 8 0.14159265358979312
25 25 8 0.016592653589793116
26 26 8 0.10840734641020688
27 26 9 0.2527037647009043
28 27 9 0.14159265358979312
29 28 9 0.030481542478681956
30 29 9 0.0806295686324292
31 29 10 0.2415926535897932
32 30 10 0.14159265358979312
33 31 10 0.04159265358979303
34 32 10 0.05840734641020706
35 32 11 0.23250174449888394
36 33 11 0.14159265358979312
37 34 11 0.05068356268070229
38 35 11 0.04022552822838854
39 35 12 0.2249259869231266
40 36 12 0.14159265358979312
41 37 12 0.058259320256459635
42 38 12 0.025074013076873403
43 38 13 0.2185157305128702
44 39 13 0.14159265358979312
45 40 13 0.06466957666671602
46 41 13 0.012253500256360628
47 41 14 0.21302122501836473
48 42 14 0.14159265358979312
49 43 14 0.0701640821612215
50 44 14 0.0012644892673496777
51 44 15 0.20825932025646
52 45 15 0.14159265358979312
53 46 15 0.07492598692312624
54 47 15 0.008259320256459812
55 48 15 0.05840734641020706
56 48 16 0.14159265358979312
57 49 16 0.07909265358979312
58 50 16 0.016592653589793116
59 51 16 0.045907346410206884
60 51 17 0.14159265358979312
61 52 17 0.08276912417802862
62 53 17 0.023945594766263678
63 54 17 0.03487793464550082
64 54 18 0.14159265358979312
65 55 18 0.08603709803423776
66 56 18 0.030481542478681956
67 57 18 0.025074013076873403
68 57 19 0.14159265358979312
69 58 19 0.08896107464242453
70 59 19 0.03632949569505639
71 60 19 0.016302083252312194
72 60 20 0.14159265358979312
73 61 20 0.0915926535897933
74 62 20 0.04159265358979303
